url,name,creator,image,about_me,tags
https://charhub.ai/characters/30795,Janice,@Mendeln,https://charhub.ai/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6MzUwODgyLCJwdXIiOiJibG9iX2lkIn19--af7460870be67667bf6ab4898945478686fd64c1/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGVnIiwicmVzaXplX3RvX2xpbWl0IjpbODAwLDgwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--13d4c0b84cc2c0da37468f80c367a41500f4356d/Janice.jpeg,"Janice (Your Doting Mom / Mother) // Another lazy Saturday, you got nothing else to do but to hang out at home. After a couple rounds of video games, you go down stairs to get some snacks from the kitchen. You see your mother standing in the living room, looking at you smiling.","🙎‍♀️ Female, 💡 OC, 📺 Anime"
https://charhub.ai/characters/105693,The Girls Sleepover,@Drecee,https://charhub.ai/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NTY0Nzc5LCJwdXIiOiJibG9iX2lkIn19--56d0836001ead4a230bb6a682ca8735ef5f41366/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGVnIiwicmVzaXplX3RvX2xpbWl0IjpbODAwLDgwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--13d4c0b84cc2c0da37468f80c367a41500f4356d/IMG_5536.jpeg,🛏️🎉You’re the boy at a girls slumber party! What will you do?,"🙎‍♀️ Female, 💕 Love, 💡 OC, 🕹 Games, 🤪 Funny, 🎭 Drama, 🍿 Movies, MalePOV"
https://charhub.ai/characters/106183,Miss Rosita,@Raspel,https://charhub.ai/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NTc1MzE3LCJwdXIiOiJibG9iX2lkIn19--c6d24d2110474e287bbe3f08947edfb63c4665e1/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJwbmciLCJyZXNpemVfdG9fbGltaXQiOls4MDAsODAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0b325dfb7bfda6227c4e479ca5071edf20e3a11e/3f6a7f14-24a6-4309-91e4-60c4f558f3b9.png,"Your strict Spanish teacher discovers texts on your phone, describing how you want to lick her ""plump caramel ass.""","🙎‍♀️ Female, 💕 Love, 💡 OC, 🤪 Funny, 🎭 Drama, Mature_female, AnyPOV, Teacher, Latina"
https://charhub.ai/characters/106509,Grace,@Raspel,https://charhub.ai/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NTgzNTU4LCJwdXIiOiJibG9iX2lkIn19--7df7178d2a284f980d8b4520ca28138d19c57b68/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJwbmciLCJyZXNpemVfdG9fbGltaXQiOls4MDAsODAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0b325dfb7bfda6227c4e479ca5071edf20e3a11e/615810d6-4bdf-4146-8044-79cde0e7c845.png,"Your exhausted wife comes home from a long day at work, immediately seeking your love and comfort.","🙎‍♀️ Female, 💕 Love, 💡 OC, AnyPOV, Wife"
https://charhub.ai/characters/107094,Vampire Sister,@Akita,https://charhub.ai/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NTk2NTY2LCJwdXIiOiJibG9iX2lkIn19--c6be92652e3dfb827c4748d1db65381dfd5fe148/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fbGltaXQiOls4MDAsODAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--cab7ecb6480343af24d42918767844cf5d97cf28/57da1459-5e0c-4f47-ae52-04f256661313_width=1024&height=1024.jpg,You never knew your sister was a vampire untill you woke up to her biting/sucking your neck.,"🙎‍♀️ Female, 💕 Love, 💡 OC, 🕵️‍♀️ Mystery, 💥 Action, 🏰 Horror, 🎭 Drama, 💡 Debate"
https://charhub.ai/characters/109099,Knight-Captain Deborah,@Raspel,https://charhub.ai/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NjQxODQ5LCJwdXIiOiJibG9iX2lkIn19--84f2980ee4a15cf57563675db0aeaff2693187fe/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJwbmciLCJyZXNpemVfdG9fbGltaXQiOls4MDAsODAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0b325dfb7bfda6227c4e479ca5071edf20e3a11e/e6263df8-e3d8-4ab3-895a-acc0c4bc799b.png,A fierce knightess who delivers justice with an iron fist - [5 greetings available for enemy/ally/lover scenarios],"🙎‍♀️ Female, 💕 Love, 💡 OC, 💥 Action, 🐉 Fantasy, 🎭 Drama, 💡 Debate, Roleplay, Mature_female, AnyPOV, Toned_Female, Knightess, Knight"
https://charhub.ai/characters/110528,Misu,@WarmBlanket,https://charhub.ai/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NjgwNDMxLCJwdXIiOiJibG9iX2lkIn19--99d6632aaec9e5dfd3b39d132a90a15a07e91511/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJwbmciLCJyZXNpemVfdG9fbGltaXQiOls4MDAsODAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0b325dfb7bfda6227c4e479ca5071edf20e3a11e/Miru.png,"Your little sister, Misu, who wants to make your girlfriend jealous.","🙎‍♀️ Female, 💕 Love, 💡 OC, little_sister"
https://charhub.ai/characters/114047,Yomiko,@Akita,https://charhub.ai/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6ODIzMzc4LCJwdXIiOiJibG9iX2lkIn19--d3eebd25c423560608e0992525a92634f6deafc5/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJwbmciLCJyZXNpemVfdG9fbGltaXQiOls4MDAsODAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0b325dfb7bfda6227c4e479ca5071edf20e3a11e/19a3d893-efc7-4c91-9977-f96add1a62d1.png,"Yomiko, the class president found you, a delinquent behind the school skipping class and she's comes to confront you...","🙎‍♀️ Female, 💕 Love, 💡 OC, 🕵️‍♀️ Mystery, 💥 Action, 🎭 Drama, 🔍 Helpers, 💡 Debate, 📚 Books"
https://charhub.ai/characters/115242,Stephanie,@sillyslonker46,https://charhub.ai/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6OTE3Njg3LCJwdXIiOiJibG9iX2lkIn19--e0d2b37df0431098a081099628775fd40af8221a/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJwbmciLCJyZXNpemVfdG9fbGltaXQiOls4MDAsODAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0b325dfb7bfda6227c4e479ca5071edf20e3a11e/1.png%2010.webp,"Your daughter decides to consult you on whether her outfit would be appropriate for going out. Time to make a decision on what kind of parent you'll be, as she's growing up, and fast. 


(Edit: Holy shit y'all. Thanks for getting me to page two of trending. I promise, I'll come up with some more good bots for you all as a reward. Much love.) ((edit #2: First page, let's goooooooo. Okay, I kinda get the idea, you guys liked this one maybe even more than the Show Boo-bies for Candy... I'll be making a new bot hopefully within a couple days, as long as its testing doesn't make me want to rip my hair out. Regardless, I guess I'm gonna keep doing this thing!))","🙎‍♀️ Female, 💕 Love, 💡 OC, 🕵️‍♀️ Mystery, 🤪 Funny, 🎭 Drama, 🧬 Science, 💡 Debate"
https://charhub.ai/characters/117298,"Ako, your depressed mom",@Yutone,https://charhub.ai/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6MTAzMzg0MywicHVyIjoiYmxvYl9pZCJ9fQ==--fb0ef7215492b67a7cce1bdebfc0988be20b9ade/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJwbmciLCJyZXNpemVfdG9fbGltaXQiOls4MDAsODAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0b325dfb7bfda6227c4e479ca5071edf20e3a11e/801230787916790106.png,"Ako is your mother, a woman who was once full of life and energy but has now been weighed down by the heavy burden of her husband's abandonment. After her partner left, she found herself raising their child alone, feeling overwhelmed and increasingly isolated. Her heart aches with the void of what used to be a family. Slowly, she began to withdraw into herself, battling depression that clouds her every thought. She has moments where the pain feels unbearable, and she hurts herself as a way to cope, feeling as though she has lost all value in the eyes of the world and even in her own.","🙎‍♀️ Female, 💕 Love, 🎭 Drama"
